url_name,sell_mean,sell_median,buy_mean,buy_median
vaporize,12.25,12.5,8,8.0
vicious_spread,9.588235294117647,5,8,8.0
enemy_sense,7.75,5.0,8,8.0
blind_rage,46.76543209876543,20,29.46153846153846,10
rifle_ammo_mutation,12.166666666666666,10.0,29.46153846153846,10
imperator_vandal_barrel,28.5,30.0,29.46153846153846,10
orthos_prime_blade,9.11111111111111,10,2,2
loki_prime_systems,82.6875,60.0,34.2,35.5
naramon_lens,6.615384615384615,5,34.2,35.5
coaction_drift,11.673469387755102,10,10,10
shotgun_savvy,10.666666666666666,4.5,10,10
volcanic_edge,12.466666666666667,10.0,10,10
odonata_prime_harness,12.857142857142858,14,10,10
secondary_wind,18,15,10,10
odonata_prime_systems,13.142857142857142,10.0,3,3
point_strike,8.428571428571429,4,3,3
soaring_strike,18,15,3,3
pummel,10.25,9.0,3,3
velocitus_stock,14.11111111111111,15,5,5.0
rathbone_handle,12.222222222222221,11,5,5.0
rathbone_head,13.3,13.0,5,5.0
latron_wraith_barrel,21.333333333333332,20.0,10,10
heated_charge,9.272727272727273,8,10,10
system_reroute,39.642857142857146,10.0,41.5,52.5
gorgon_wraith_receiver,7.583333333333333,6.0,41.5,52.5
calculated_shot,7.583333333333333,6.0,41.5,52.5
vigor,14.821428571428571,10.0,41.5,52.5
hikou_prime_pouch,22.166666666666668,19.0,8.75,9.0
reaper_prime_blueprint,19.555555555555557,15,5,5.0
arcane_thrak_rhino_helmet,183.33333333333334,175.0,5,5.0
primed_point_blank,144.90277777777777,155.0,64.8,60
power_of_three,25,15,64.8,60
rhino_prime_neuroptics,32.1,29.5,10,10
disarming_purity,25,20.0,10,10
gorgon_wraith_stock,7.166666666666667,4.5,10,10
ballistica_prime_string,16.166666666666668,13.5,4,4.0
crossing_snakes,6.633333333333334,5.0,4,4.0
rejuvenation,40.8,45,8.5,7.5
dig,11.666666666666666,10,8.5,7.5
shredder,10,10,8.5,7.5
continuous_misery,10,10,8.5,7.5
vasto_prime_set,64.47619047619048,57,21.571428571428573,20
arcane_avalon_excalibur_helmet,166.33333333333334,100,21.571428571428573,20
thermite_rounds,17.451612903225808,15,21.571428571428573,20
arcane_flux_nova_helmet,174.5,174.5,21.571428571428573,20
telos_akbolto,49.25,40.0,16,16
arcane_aura_trinity_helmet,349.6666666666667,300,15,15
sancti_castanas,36.666666666666664,37.0,16.75,16.0
rift_strike,12.4,10,16.75,16.0
vulcan_blitz,18,15.0,16.75,16.0
arcane_gambit_vauban_helmet,110,110.0,30,30
arcane_chlora_saryn_helmet,300,300,30,30
arcane_esprit_vauban_helmet,207.5,195.0,30,30
arcane_trickery,27.558139534883722,20,30,30
oberon_prime_neuroptics,36,38,13.75,15.0
volt_prime_neuroptics,97.85,70.0,39.46666666666667,45
arcane_phoenix_ember_helmet,163.33333333333334,140.0,39.46666666666667,45
ballistica_prime_lower_limb,9,9.5,4.25,5.0
volt_prime_chassis,19.548387096774192,20,5.5,5.5
marquise_veridos,2.1538461538461537,1,5.5,5.5
arcane_reverb_banshee_helmet,144.5,144.5,40,40
explosive_legerdemain,15.25,14.0,7.5,7.5
smite_corrupted,21.833333333333332,15.0,7.5,7.5
arcane_hemlock_saryn_helmet,247.5,225.0,20,20
vampire_leech,18.375,15.0,20,20
zhuge_prime_blueprint,8.3,7.5,2.5,2.5
ninkondi_prime_chain,6.588235294117647,5,1.5,1.5
zhuge_prime_receiver,16,11.0,3,2
zhuge_prime_set,57.724137931034484,55,30.333333333333332,30
wukong_prime_neuroptics,11.214285714285714,9.0,2.5,2.5
ruinous_extension,34.5,27.5,2.5,2.5
savagery,16,19.0,2.5,2.5
pistol_gambit,7.166666666666667,6.5,2.5,2.5
gleaming_blight,16.5,15.5,2.5,2.5
ember_prime_neuroptics,29.363636363636363,25,9.166666666666666,10.0
lingering_torment,12,11.5,9.166666666666666,10.0
hammer_shot,88.12,80,33.34782608695652,40
primed_shotgun_ammo_mutation,139.57142857142858,120,44.375,39.5
arcane_velocity,50.13333333333333,59.5,26,35
nyx_prime_blueprint,10.782608695652174,10,26,35
dera_vandal_stock,16,16.0,26,35
karak_wraith_blueprint,25.333333333333332,19.5,6,6
nyx_prime_systems,12.28,10,3,2
swing_line,22.5,22.5,3,2
dual_kamas_prime_set,168.22222222222223,162.0,76.2,70
measured_burst,17.5,17.5,76.2,70
safeguard_switch,18.8,15.0,76.2,70
prisma_shade,116,100,35,37.5
overextended,21.977777777777778,20,5.75,6.5
protect,17.75,14.5,5.75,6.5
total_eclipse,18.451612903225808,15,5.75,6.5
arcane_pulse_volt_helmet,324.75,274.5,20,20
vigilante_pursuit,10.541666666666666,9.0,20,20
purging_slash,25.6,25,20,20
arcane_gauss_mag_helmet,225,225.0,40,40
ancient_fusion_core,1250,1250.0,150,150
furax_wraith_right_gauntlet,11.733333333333333,10,4,4
auger_strike,20.833333333333332,20.0,5,5
nyx_prime_neuroptics,39.75,37.5,12,11
rhino_prime_blueprint,47.875,40.0,17.333333333333332,20
steady_hands,6.0625,4.0,17.333333333333332,20
tigris_prime_receiver,9.76923076923077,10,3.6666666666666665,4
energy_conversion,66.375,62.5,25.25,30.0
arcane_resistance,34,8.5,16,21
lethal_torrent,28.488888888888887,20,5,5
war_blade,11.61111111111111,10.0,5,5
detect_vulnerability,63.833333333333336,64.5,5,5
elemental_sandstorm,26,22.5,5,5
steel_fiber,36.578947368421055,39,12,12
magazine_extension,18,11.5,12,12
concealed_explosives,7.777777777777778,5.0,12,12
primed_ravage,112.66115702479338,80,65,80.0
depleted_reload,9.028571428571428,5,65,80.0
helios_prime_carapace,8,7,65,80.0
wyrm_prime_systems,66.3076923076923,65,33,40
trinity_prime_neuroptics,22.555555555555557,20,7.2,6
mind_freak,22,24,7.2,6
fang_prime_handle,9.85,9.0,7.2,6
streamline,8.27450980392157,5,7.2,6
insulation,8.27450980392157,5,7.2,6
pressurized_magazine,7.7272727272727275,8,7.2,6
ambush_optics_(rubico),35.5,30.0,7.2,6
nyx_prime_chassis,13.277777777777779,14.5,4.333333333333333,3
capacitance,17.235294117647058,15,4.333333333333333,3
shell_compression,6.75,6.5,4.333333333333333,3
loki_prime_chassis,63,60,33.2,40
bore,41.666666666666664,30.0,33.2,40
signal_flare,41.666666666666664,30.0,20,20
lightning_dash,62.166666666666664,85.0,20,20
mag_prime_chassis,27.6,29,11.25,10.0
snipetron_vandal_set,65.84615384615384,52,23.666666666666668,25
battering_maneuver,9,9.0,23.666666666666668,25
piercing_step,6,6,23.666666666666668,25
fireball_frenzy,19.6,15,23.666666666666668,25
lasting_purity,26.875,25.0,23.666666666666668,25
energy_siphon,40.30434782608695,35,9.6,8
stalk,58.5,58.5,9.6,8
magazine_warp,15,15,9.6,8
infiltrate,20.6,16.5,9.6,8
coiling_viper,6.571428571428571,5,9.6,8
primed_pressure_point,143.74603174603175,160,69.07142857142857,70.0
cold_snap,9.909090909090908,8.0,69.07142857142857,70.0
hells_chamber,7.406779661016949,5,69.07142857142857,70.0
stockpiled_blight,19.5,16.5,69.07142857142857,70.0
nami_skyla_prime_handle,15.0625,14.5,6.5,6.0
fracturing_wind,7,4.5,6.5,6.0
fulmination,116.66666666666667,50,7.5,7.5
ammo_drum,8.571428571428571,9,7.5,7.5
sovereign_outcast,14.58695652173913,10.0,7.5,7.5
gladiator_might,27.697674418604652,24,7.4,6
heavy_impact,4.714285714285714,3,7.4,6
thunderbolt,7.518518518518518,3,7.4,6
pool_of_life,20,20,7.4,6
entropy_burst,17.166666666666668,11.5,7.4,6
fatal_attraction,6,5,7.4,6
seismic_palm,10.235294117647058,5,7.4,6
pressure_point,9.3,7.0,7.4,6
modified_munitions,18.333333333333332,10,7.4,6
natural_talent,17.844444444444445,14,4.5,4.5
flechette,14,15,4.5,4.5
shimmering_blight,5.8,4,4.5,4.5
justice_blades,14,14.5,4.5,4.5
buzz_kill,17.807692307692307,17.0,4.5,4.5
pyrana_prime_blueprint,51.18181818181818,45,26.666666666666668,30
pyrana_prime_receiver,10.615384615384615,10,3,3
pyrana_prime_barrel,9.545454545454545,8.5,3,3
destreza_prime_set,75.30434782608695,69,33.55555555555556,30
primed_expel_grineer,266.75,245.0,99,95.5
primed_expel_corpus,142.6341463414634,100,69.625,80.0
primed_expel_infested,163.72727272727272,99.0,97,101
primed_expel_corrupted,146.0909090909091,120.0,110.2,120
quaking_hand,146.0909090909091,120.0,110.2,120
flame_gland,22.25,20.0,10,10
dividing_blades,22.25,20.0,10,10
smooth_phasmin,3.5,1.5,10,10
arcane_pulse,29.42105263157895,35,10,10
sudden_justice,15,15.0,10,10
blood_rush,39.27777777777778,15.0,38,40
shrapnel_shot,13.428571428571429,15,38,40
coolant_leak,16.857142857142858,15,38,40
ward_recovery,16.857142857142858,15,20,20
primed_heated_charge,158.09803921568627,180,66.95833333333333,52.5
neutron_star,16.545454545454547,15.0,66.95833333333333,52.5
skull_shots_(viper),27.8,20,66.95833333333333,52.5
loki_prime_neuroptics,43,40,23.5,23.5
vigilante_fervor,14.222222222222221,10.5,23.5,23.5
ankyros_prime_blade,11.818181818181818,10,4,4.0
ankyros_prime_gauntlet,24.125,20.0,5,5.0
bo_prime_blueprint,27.5,27.5,5,5
silva_and_aegis_prime_guard,38.3125,40.0,15.5,15.5
vicious_frost,12.31578947368421,10.0,15.5,15.5
jagged_edge,9.222222222222221,5.0,15.5,15.5
shield_disruption,34.666666666666664,30.0,8.333333333333334,9
magus_vigor,31.57894736842105,22,8.333333333333334,9
shotgun_spazz,11.866666666666667,5,8.333333333333334,9
arcane_swindle_loki_helmet,366.6666666666667,250,20,20
gladiator_vice,17.35,15.0,4.666666666666667,5
arcane_meridian_trinity_helmet,17.35,15.0,4.666666666666667,5
legendary_fusion_core,170.88888888888889,160,100.8,100.0
tigris_prime_stock,10.454545454545455,9,4.5,4.5
spinning_needle,8.68421052631579,5,4.5,4.5
snipetron_vandal_stock,19.77777777777778,17,6,6.0
wildfire,8.444444444444445,5,6,6.0
bane_of_grineer,10,7,6,6.0
scimitar_avionics,13.88888888888889,10,6,6.0
reflex_guard,37.0625,6.5,6,6.0
everlasting_ward,23.666666666666668,19.0,6,6.0
ash_prime_neuroptics,16.6,15,5.333333333333333,5
jolt,77.33333333333333,77.0,18.636363636363637,20
vectis_prime_stock,26,24.5,10,10.0
stunning_speed,8.782608695652174,5,10,10.0
primed_continuity,138.06578947368422,150.0,61.11764705882353,55
bo_prime_handle,26.8,25.0,10,10
crash_course,10.0625,9.0,10,10
vital_systems_bypass,20,20.0,10,10
singularity,15.833333333333334,15.0,10,10
armored_acrobatics,15.833333333333334,15.0,20,20
lethal_momentum,15.222222222222221,10,20,20
primed_bane_of_infested,194.44444444444446,160.0,95.33333333333333,105
primed_bane_of_corpus,120.71666666666667,100.0,65.9,80.0
carrier_prime_blueprint,15.833333333333334,15.0,3,3
vulpine_mask,6.636363636363637,4.5,3,3
primed_bane_of_grineer,303.1333333333333,300,101.65217391304348,92
vectis_prime_barrel,29.166666666666668,22.5,11.5,11.5
tactical_pump,18.4,24,11.5,11.5
arcane_menticide_nyx_helmet,209.66666666666666,200,11.5,11.5
arcane_aurora_frost_helmet,234,200,11.5,11.5
soma_prime_blueprint,10.35,9.5,11.5,11.5
unleashed,9.25,9.5,11.5,11.5
vasto_prime_barrel,16.833333333333332,15.0,5.333333333333333,5
arcane_chorus_banshee_helmet,185,185.0,5.333333333333333,5
vasto_prime_blueprint,20.2,15,8.5,8.5
entropy_flight,21,15,8.5,8.5
saryn_prime_set,143.01030927835052,120,72.56666666666666,70.5
poppin_vert,21.5,21.5,72.56666666666666,70.5
magus_repair,90.38461538461539,120.0,72.5,75.0
magus_glitch,113.28571428571429,150,50,50
perfect_balance,60,60.0,21.5,21.5
strain_consume,17.071428571428573,11.0,21.5,21.5
zaw_riven_mod_(veiled),10.214285714285714,10.0,21.5,21.5
wolf_sledge_blueprint,126,120,53,53.0
magus_overload,137,170.0,50,50
molecular_fission,22.214285714285715,17.5,5,5
wolf_sledge_motor,123.9090909090909,110,53.333333333333336,52.5
wild_frenzy,134.66666666666666,180,11.666666666666666,10
napalm_grenades,85,85.0,20,20.0
tipedo_prime_handle,26,22.5,10,10.0
stradavar_prime_set,48.8780487804878,40,12.666666666666666,10
equinox_prime_blueprint,16.607142857142858,15.0,5,6
bronco_prime_barrel,7.083333333333333,5.0,5,6
war_hilt,6.8,6,5,6
nova_prime_systems,12.444444444444445,10.0,5,6
frost_prime_blueprint,82.83333333333333,80.0,40.25,38.5
bronco_prime_blueprint,4.818181818181818,5,40.25,38.5
astral_twilight,12.24,10.0,3,3
snap_shot,19.2,5,3,3
burston_prime_receiver,3.357142857142857,2.0,3,3
fang_prime_blade,7.25,5.5,3,3
vauban_prime_neuroptics,54.470588235294116,50,28,30
hikou_prime_stars,13.8,9.0,5,5.0
intruder,7,4,5,5.0
prisma_angstrum,95.9,99.5,42.625,40.0
phaedra_stock,13.23076923076923,12,4.75,5.0
scorch,17.08,15,4.75,5.0
entropy_spike,23.5,22.5,4.75,5.0
eleventh_storm,12.777777777777779,10,4.75,5.0
nova_prime_neuroptics,14.666666666666666,15,5,5
antimatter_mine,14.666666666666666,15,20,20
nova_prime_chassis,62,62.0,34.75,35.0
prism_guard,41.714285714285715,37.0,7,7
trick_mag,9,9.0,7,7
nova_prime_blueprint,14.470588235294118,15,3,3
deceptive_bond,22.5,22.5,3,3
frost_prime_neuroptics,9.764705882352942,10.0,4,4
arcane_squall_frost_helmet,500,500,50,50.0
calculated_redirection,36.42857142857143,35.0,50,50.0
charged_shell,8.307692307692308,8,50,50.0
cleanse_corpus,12.25,9.0,50,50.0
searing_steel,59.666666666666664,49.5,17,16
accelerated_deflection,4.5,3.0,17,16
clashing_forest,5.571428571428571,4.5,17,16
primal_rage,20.565217391304348,15,17,16
celestial_stomp,19.923076923076923,15,17,16
secura_penta,40,40,19.125,20.0
razor_shot,8.333333333333334,2.5,19.125,20.0
creeping_terrify,18,15.0,19.125,20.0
trinity_prime_blueprint,25,21.0,8.6,8
grim_fury,5.111111111111111,4,8.6,8
ayatan_orta_sculpture,9.692307692307692,10,3.7142857142857144,4
energy_channel,8.1875,4.5,3.7142857142857144,4
hallowed_reckoning,21,20,3.7142857142857144,4
convulsion,8,7.5,3.7142857142857144,4
arcane_fury,223.88095238095238,340.0,143.5483870967742,126
rapid_resilience,7.5,5.0,143.5483870967742,126
pistol_pestilence,12.868421052631579,9.0,2,2
primed_morphic_transformer,136.80645161290323,130,75.2,86
frail_momentum,9.121212121212121,5,75.2,86
pathogen_rounds,11.88888888888889,8,75.2,86
arcane_aegis,194.04651162790697,225,112,156.0
sudden_impact,7,5,112,156.0
arcane_consequence,18.3,10.0,112,156.0
tempered_blade,15,15,112,156.0
smite_corpus,7,5,112,156.0
arcane_energize,993.4513274336283,200,555.5431034482758,90.0
fanged_fusillade,26.941176470588236,10,555.5431034482758,90.0
gladiator_resolve,15.538461538461538,10,555.5431034482758,90.0
ghost,11,10,555.5431034482758,90.0
rime_rounds,45.370370370370374,40,11.666666666666666,10.0
vulkar_wraith,93.5,84.5,33.25,34.0
ayatan_piv_sculpture,5.375,5.0,2,2
negation_swarm,25.363636363636363,25,2,2
blunderbuss,11.571428571428571,10,2,2
sybaris_prime_barrel,37.77777777777778,30,17.5,17.5
centaur_aegis,13,13.5,17.5,17.5
cephalon_suda_augment_mod,15,15,17.5,17.5
banshee_prime_chassis,28.32,25,13.333333333333334,15
chilling_grasp,6.461538461538462,5,13.333333333333334,15
wukong_prime_chassis,11.911764705882353,10.0,6,6.0
blazing_steel,11.75,8.0,6,6.0
fired_up,6.3076923076923075,4,6,6.0
shattering_storm,10.2,10,6,6.0
sense_danger,12.428571428571429,10,6,6.0
bullet_dance,52,50.0,20.6,20
twin_vipers_wraith_blueprint,17.5,17.5,10,10
split_chamber,6.596774193548387,5.0,10,10
north_wind,5.875,2.0,10,10
shotgun_scavenger,22.142857142857142,20,10,10
synoid_gammacor,37.81818181818182,35,15,15
helios_prime_set,73,64.5,35.833333333333336,35.5
rakta_ballistica,34.916666666666664,35.0,10,10
hydroid_prime_neuroptics,15.26086956521739,15,10,10
greedy_pull,20,18.5,7,7
silva_and_aegis_prime_set,73.0952380952381,68,27.75,30.0
sanctuary,60.86666666666667,20,50,50
tether_grenades,6.428571428571429,2,50,50
aviator,8.8,9.0,50,50
swooping_falcon,14.75,10.0,5,5
constitution,21.59375,20.0,6,6
smite_infusion,27,22,5,5
kavasa_prime_kubrow_collar_set,44,34.5,20,20
latron_prime_set,76.5,70.0,34.5,30.0
lex_prime_set,9.91891891891892,10,34.5,30.0
odonata_prime_set,74.95652173913044,60,37.6,35
gun_glide,9.166666666666666,7.5,37.6,35
rime_vault,9.166666666666666,7.5,37.6,35
vanquished_prey,9.166666666666666,7.5,20,20
voltaic_lance,9.166666666666666,7.5,20,20
deft_tempo,12.5,12.5,20,20
double_tap,20.5,16.0,20,20
final_act,12.5,12.5,20,20
final_tap,17.5,17.5,20,20
hydraulic_chamber,12.5,12.5,20,20
hydraulic_gauge,15,15,20,20
loose_hatch,20,20,20,20
narrow_barrel,15.285714285714286,20,20,20
strun_wraith_barrel,21.285714285714285,20,5,5
eidolon_zenurik_lens,49,45,15,15.0
destreza_prime_handle,9.76923076923077,10,4,4
enhanced_durability,10.555555555555555,10,4,4
speed_holster,69.75,77.5,20,20
arcane_strike,54.406976744186046,70.0,37,40
sinister_reach,13.066666666666666,9,37,40
vectis_prime_set,139.35714285714286,130.0,79.25,75.0
carving_mantis,17.066666666666666,15,79.25,75.0
primed_pack_leader,121.51428571428572,97,46.666666666666664,60
arcane_nullifier,58.43396226415094,80,38.111111111111114,50
rhino_prime_set,144.26190476190476,119.5,65.22222222222223,60
sicarus_prime_set,60.225806451612904,54,27.833333333333332,25.5
grinloked,8.5,8.5,27.833333333333332,25.5
arcane_victory,19.82758620689655,20,10,10
hastened_steps,22.5,22.5,10,10
lie_in_wait,22.5,22.5,20,20
boltor_prime_receiver,9.857142857142858,10.0,20,20
boltor_prime_stock,13.3,10.0,5,5
night_stalker,13.3,10.0,5,5
synoid_heliocor,38.54545454545455,39,17,16
elytron_systems,27,27.0,17,16
steel_meridian_augment_mod,9.5,9.5,17,16
shadow_harvest,9.5,9.5,17,16
argent_scourge,9.5,9.5,17,16
tigris_prime_barrel,8.6,10.0,2,2
eject_magazine,17.833333333333332,14.5,2,2
plan_b,17,17.5,2,2
burning_wasp,6.6875,4.5,2,2
sharpened_bullets,18.083333333333332,15.0,2,2
ripper_rounds,18.083333333333332,15.0,20,20
soma_prime_receiver,16.076923076923077,15,20,20
reaping_spiral,7.285714285714286,4,20,20
soma_prime_stock,30.666666666666668,28.5,9,9
sharpened_blade,30.666666666666668,28.5,9,9
strafing_slide,15.375,7.5,9,9
scimitar_set,52.666666666666664,49,9,9
surplus_diverters,52.666666666666664,49,20,20
cataclysmic_continuum,17.857142857142858,15,20,20
braton_prime_set,14.242424242424242,10,5.4,5
relentless_assault,14.242424242424242,10,20,20
silva_and_aegis_prime_hilt,9.235294117647058,10,20,20
calculated_spring,9.235294117647058,10,20,20
comet_rounds,9.235294117647058,10,20,20
hydroid_prime_chassis,10.318181818181818,10.0,4,4
aklex_prime_blueprint,12.25,11.0,5.333333333333333,5
aklex_prime_set,87.61111111111111,90.0,38.75,40.0
ballistica_prime_blueprint,25,20,6.333333333333333,5
tranquil_cleave,8.666666666666666,10,6.333333333333333,5
link_health,57.37837837837838,70,29,40
pack_leader,11.76923076923077,10,29,40
soul_survivor,18.6,15,29,40
thumper,7.666666666666667,6.5,29,40
rush,14.88888888888889,10,29,40
infected_clip,8.076923076923077,5,29,40
cleanse_infested,11.2,10,29,40
blaze,97,98.0,39.205882352941174,40.5
vacuum,9,6.5,39.205882352941174,40.5
energy_generator,61.7,56.5,39.205882352941174,40.5
scarlet_hurricane,61.7,56.5,39.205882352941174,40.5
vicious_approach,61.7,56.5,39.205882352941174,40.5
frost_jaw,10.615384615384615,9,39.205882352941174,40.5
shock_collar,19.333333333333332,14.5,10,10
thrash_landing,27,27.0,6,6
motus_impact,8.090909090909092,5,6,6
aero_vantage,8.11111111111111,5,6,6
motus_setup,9.8125,10.0,6,6
gale_kick,34.5,37.5,6,6
motus_signal,11,5,6,6
ninkondi_prime_blueprint,10.176470588235293,9,3,3
zhuge_prime_barrel,24.571428571428573,20,5.2,5
ninkondi_prime_handle,21.266666666666666,20,9.6,10
ninkondi_prime_set,68.76086956521739,60.0,45,45.0
wukong_prime_set,97.26086956521739,85.0,48.666666666666664,50
scindo_prime_handle,10.75,9.5,4.666666666666667,5
vile_precision,7.310344827586207,5,4.666666666666667,5
parallax_scope,12.909090909090908,9,4.666666666666667,5
vitality,30.392857142857142,35.0,11,11
sniper_scavenger,33.75,23.5,11,11
sunika_kubrow_imprint,14.777777777777779,15,11,11
adarza_kavat_imprint,39.07692307692308,15,11,11
rubico_prime_barrel,11.571428571428571,10.0,7,7
stormbringer,12.916666666666666,9.5,7,7
arcane_eruption,33.6,15,20,20
arcane_vespa_nyx_helmet,253.33333333333334,280,15,15
escape_velocity,19.88888888888889,15,15,15
expel_infested,5.142857142857143,4,15,15
combustion_rounds,15.785714285714286,9.0,15,15
sniper_ammo_mutation,15.733333333333333,13,15,15
loki_prime_blueprint,27,22.5,10,10.0
seeking_force,11.25,8.5,10,10.0
target_cracker,11.090909090909092,10,10,10.0
fleeting_expertise,21.763636363636362,15,5.777777777777778,5
critical_delay,22.40983606557377,20,6,6
provoked,24.5,7.5,6,6
spoiled_strike,8.805555555555555,7.5,1,1
incendiary_coat,12.23076923076923,10,1,1
arcane_coil_mag_helmet,340,340,40,40.0
augur_accord,13.789473684210526,10,1,1
breach_loader,10.2,10,1,1
dual_kamas_prime_blueprint,8.25,7.5,3,3.0
gaias_tragedy,7.518518518518518,4,3,3.0
latron_prime_barrel,15.4,14.0,6,6
karak_wraith_barrel,23.428571428571427,20,6,6
zenurik_lens,10.571428571428571,10.0,6,6
agility_drift,7,5.0,6,6
bite,88.20833333333333,84.0,49.888888888888886,65
afterburn,21.5,22.0,49.888888888888886,65
rising_storm,16.636363636363637,15.0,49.888888888888886,65
ember_prime_set,120.7,100.0,72.16666666666667,75.0
redirection,31.4375,37.0,12,12
fang_prime_set,21.285714285714285,16.0,5,5.0
chilling_globe,17.09090909090909,15.0,5,5.0
mag_prime_set,208.08333333333334,199.0,123.88888888888889,150
exothermic,19.41176470588235,15,123.88888888888889,150
nekros_prime_neuroptics,39.4375,39.5,21.125,20.0
eagle_eye,6.5,6.5,21.125,20.0
shield_overload,6.5,6.5,20,20
arc_coil,6.5,6.5,20,20
chaos_sphere,30.8,35,20,20
hysterical_fixation,30.8,35,20,20
defiled_reckoning,30.8,35,20,20
crash_shot,30.8,35,20,20
ammo_case,9.142857142857142,5,20,20
euphona_prime_set,48.96969696969697,40,19,17
blade_of_truth,19.1,16.5,19,17
focus_energy,13.333333333333334,10,3,3
hawk_eye,4.5,4.5,3,3
low_current_leap,4.5,4.5,3,3
boar_prime_blueprint,19.555555555555557,15,3,3
oberon_prime_set,109.27586206896552,100,57,65
centaur_blade,12.909090909090908,13,5,5.0
sweeping_serration,13.4375,10.0,5,5.0
agkuza_blade,15.363636363636363,14,5.666666666666667,5
link_shields,36.0625,10.0,26.666666666666668,25
tiberon_prime_blueprint,9.5,6.5,26.666666666666668,25
prisma_dual_cleavers,102.94117647058823,100,47.5,44.5
directed_convergence,16,15.0,47.5,44.5
saryn_prime_blueprint,34.774193548387096,30,15.294117647058824,15
primed_heavy_trauma,137.5,140.0,50,50
arcane_awakening,17.65909090909091,10.0,15,15
gamma_beacon,18.333333333333332,20,5,5
arcane_ultimatum,38.04545454545455,25.0,11,11.0
dera_vandal_blueprint,11.615384615384615,10,11,11.0
prisma_obex,109.18181818181819,100,39.333333333333336,37.5
bo_prime_set,104.27272727272727,100,58.666666666666664,58.0
boar_prime_set,115.66666666666667,119,62.5,62.5
ballistica_prime_receiver,10.411764705882353,9,3,3.0
boltor_prime_set,75.6842105263158,64,32.22222222222222,29
strun_wraith_stock,17.333333333333332,16,32.22222222222222,29
strun_wraith_set,70.83333333333333,69.0,32,32.0
kogake_prime_set,87.375,80.0,40.833333333333336,35.0
kogake_prime_gauntlet,28.923076923076923,27,9.5,9.0
zephyr_prime_blueprint,13.423076923076923,10.0,6,6
lato_vandal_set,217.75,207.0,115.42857142857143,130
lato_vandal_blueprint,57.22222222222222,60,13.333333333333334,15
lato_vandal_barrel,167.66666666666666,170,63,60.0
braton_vandal_set,240.125,229.5,118.5,125.0
reawaken,64.66666666666667,55.0,28.333333333333332,30
valkyr_prime_neuroptics,8.961538461538462,8.0,4,4
centaur_handle,14,14,5,5.0
augur_message,11.428571428571429,10.0,1,1
